respid,sp_age,sp_totinc,sp_retinc,sp_hlth,sp_atr_w,sp_atr_r
87,0,0.0,0.0,0,0.0,0.0
94,0,0.0,0.0,0,0.0,0.0
109,70,79020.23156495346,79020.23156495346,3,0.20126619991658462,0.20126619991658462
127,0,0.0,0.0,0,0.0,0.0
159,65,0.0,0.0,1,0.08165327293707898,0.06574430877119009
171,0,0.0,0.0,0,0.0,0.0
222,0,0.0,0.0,0,0.0,0.0
272,67,28348.528148137662,28348.528148137662,1,0.12655419224219866,0.12655419224219866
346,63,499.99785638554897,499.99785638554897,1,1.4290609868890716e-06,1.4290609868890716e-06
351,68,38970.04906374486,46111.94013326536,1,0.10565648838974713,0.08120377275019651
366,68,0.0,0.0,1,0.08334199886137045,0.08334199886137045
395,66,20000.0,20000.0,1,0.0,0.0
406,68,34992.07971718465,34992.07971718465,2,0.04054817984786277,0.04054817984786277
415,70,46480.40977379606,46480.40977379606,1,0.1433771398326427,0.1433771398326427
417,0,0.0,0.0,0,0.0,0.0
426,0,0.0,0.0,0,0.0,0.0
441,0,0.0,0.0,0,0.0,0.0
442,0,0.0,0.0,0,0.0,0.0
471,0,0.0,0.0,0,0.0,0.0
486,60,9999.682947878402,9999.682947878402,1,1.0568291512766377e-05,1.0568291512766377e-05
496,65,39750.29940812184,28139.068880083007,1,0.22077511335793068,0.12707721691801138
504,67,4292.693475526647,4292.693475526647,2,0.03219140201043279,0.03219140201043279
538,64,10201.586141643575,10201.586141643575,1,0.09206638594585671,0.09206638594585671
549,0,0.0,0.0,0,0.0,0.0
561,0,0.0,0.0,0,0.0,0.0
577,67,18158.71459056102,18158.71459056102,1,0.009236360609336684,0.009236360609336684
626,0,0.0,0.0,0,0.0,0.0
634,0,0.0,0.0,0,0.0,0.0
646,64,7973.974282322279,7973.974282322279,1,0.030138993990259044,0.030138993990259044
652,0,0.0,0.0,0,0.0,0.0
674,0,0.0,0.0,0,0.0,0.0
687,64,9523.114624734826,9523.114624734826,1,0.07451289215538524,0.07451289215538524
697,67,37364.812724928306,37364.812724928306,1,0.10083982103943587,0.10083982103943587
712,70,68921.64807744032,68921.64807744032,1,0.13947607418613162,0.13947607418613162
731,69,38878.74012561223,38878.74012561223,1,0.10597933826753021,0.10597933826753021
738,0,0.0,0.0,0,0.0,0.0
751,0,0.0,0.0,0,0.0,0.0
793,63,48512.36218831896,48512.36218831896,1,0.17128021914606004,0.17128021914606004
795,60,23030.35874625316,26165.506428503853,1,0.18237408803358268,0.15411255577296534
817,63,30338.1453509935,30338.1453509935,2,0.12329647174024475,0.12329647174024475
833,64,6000.0,6000.0,1,0.0,0.0
864,63,0.0,0.0,1,0.1314015917509332,0.09065137083402192
881,63,37791.03332629538,37791.03332629538,1,0.07797774611681908,0.07797774611681908
897,67,14374.924721139147,14374.924721139147,1,0.017051805402174047,0.017051805402174047
919,0,0.0,0.0,0,0.0,0.0
940,60,49028.30531435473,8416.94935354997,1,0.13320617672202775,0.05732778023992225
941,65,25806.27890500922,25806.27890500922,1,0.13673933478939035,0.13673933478939035
944,0,0.0,0.0,0,0.0,0.0
950,63,3179.7224282390894,3179.7224282390894,1,0.10794076514533318,0.10794076514533318
974,69,24897.120599708156,24897.120599708156,2,0.10287469826986911,0.10287469826986911
983,70,43796.38863791543,43796.38863791543,1,0.09685652780248777,0.09685652780248777
985,70,48711.415404248226,48711.415404248226,1,0.13741101973788028,0.13741101973788028
990,65,18455.69273988902,18455.69273988902,1,0.030280757527211394,0.030280757527211394
999,0,0.0,0.0,0,0.0,0.0
1006,0,0.0,0.0,0,0.0,0.0
1011,68,20364.567143952554,9999.453334114465,1,0.09327162331150175,1.8222002725504053e-05
1014,66,17839.535632516705,17839.535632516705,1,0.0023728507614896124,0.0023728507614896124
1019,70,31357.537596002017,31357.537596002017,1,0.11189321408248198,0.11189321408248198
1031,62,31194.504147897947,13899.438928405867,1,0.15124596364031187,0.11911028980069902
1033,65,4661.79553354219,5781.4387922486185,1,0.17306863886369694,0.10540136889175336
1035,60,37811.1567276862,3285.0722936384004,1,0.11403580845003115,0.1020778319273248
1041,60,16859.48306684578,16859.48306684578,1,0.12711043325330595,0.12711043325330595
1047,0,0.0,0.0,0,0.0,0.0
1048,70,0.0,0.0,1,0.0,0.0
1066,62,12474.907661592473,7030.479354537365,1,0.044485881565042955,0.03192532311576428
1068,60,21194.26566484775,2047.7880415438951,1,0.1826239721783534,0.07568091750110807
1078,62,23869.91454719883,23869.91454719883,1,0.020779742241303946,0.020779742241303946
1105,60,28234.4512233779,20428.01986409714,1,0.09714265390574396,0.03371936605413109
1111,62,41347.15318470634,46739.509967460515,1,0.16302560627303594,0.1449497827772049
1112,61,0.0,0.0,1,0.09594810196020569,0.08165327293707898
1114,67,17873.581882451435,17873.581882451435,1,0.010996548971890788,0.010996548971890788
1119,68,24374.8743470457,24374.8743470457,1,0.14796513861036398,0.14796513861036398
1145,63,27075.60704601711,13467.29250427305,1,0.1703087259675842,0.15521994763423827
1149,67,17876.879342535685,17876.879342535685,1,0.01109390606010824,0.01109390606010824
1169,65,19636.205189691565,19636.205189691565,1,0.098667878836295,0.098667878836295
1179,60,76810.80396078581,46886.26740221549,1,0.08119303723936973,0.07083965958883152
1188,65,39951.45882699264,39951.45882699264,1,0.11772547113662575,0.11772547113662575
1200,68,5000.0,5000.0,1,0.0,0.0
1209,61,33938.20354465007,33938.20354465007,1,0.10173303702186029,0.10173303702186029
1211,0,0.0,0.0,0,0.0,0.0
1212,0,0.0,0.0,0,0.0,0.0
1227,70,29180.812719819256,29180.812719819256,1,0.12643515033067698,0.12643515033067698
1238,0,0.0,0.0,0,0.0,0.0
1248,0,0.0,0.0,0,0.0,0.0
1257,62,4645.865001005245,4645.865001005245,1,0.08097083565322642,0.08097083565322642
1265,67,29090.661109971286,31065.96791835162,1,0.17153542208896935,0.14310418076880668
1268,70,46263.079633601774,47310.61433164604,1,0.17350742471781577,0.16718659995631782
1281,60,43100.02991081194,1993.8436666414616,2,0.08491717434265802,0.0009614510191857427
1290,60,39965.01945602425,29554.114477232557,1,0.2220365538283901,0.08569752396359172
1303,70,68763.55796324232,68763.55796324232,2,0.14116054523339333,0.14116054523339333
1316,65,16713.015910928338,16713.015910928338,1,0.0,0.0
1320,60,14821.84453464926,23055.936548946564,1,0.12923329000513753,0.0148534994123231
1323,67,32482.217066979596,32482.217066979596,1,0.14369710002789704,0.14369710002789704
1324,60,20140.09412185752,20140.09412185752,1,0.09582509333541987,0.09582509333541987
1332,0,0.0,0.0,0,0.0,0.0
1355,0,0.0,0.0,0,0.0,0.0
1364,0,0.0,0.0,0,0.0,0.0
1370,0,0.0,0.0,0,0.0,0.0
1374,69,28621.564918265834,28621.564918265834,1,0.18108360286074351,0.18108360286074351
1389,0,0.0,0.0,0,0.0,0.0
1404,0,0.0,0.0,0,0.0,0.0
1412,70,32383.26357292447,32383.26357292447,1,0.09362848172073585,0.09362848172073585
1421,67,44757.01420466863,44757.01420466863,2,0.15733126604384376,0.15733126604384376
1423,63,22272.71113941949,22272.71113941949,1,0.14821843505587967,0.14821843505587967
1439,0,0.0,0.0,0,0.0,0.0
1449,70,12513.01220679717,14969.844207546204,3,0.04771509637298192,0.010913298601291147
1472,65,5891.772868942908,5891.772868942908,1,0.09348256363598197,0.09348256363598197
1477,0,0.0,0.0,0,0.0,0.0
1506,0,0.0,0.0,0,0.0,0.0
1540,0,0.0,0.0,0,0.0,0.0
1591,0,0.0,0.0,0,0.0,0.0
1592,60,73998.20293427291,67008.18695222377,1,0.10895119379116582,0.13749285277195153
1660,0,0.0,0.0,0,0.0,0.0
1685,66,16844.513122943794,16844.513122943794,1,0.0,0.0
1719,63,55224.73109603762,21842.633914510538,1,0.19633524870344157,0.12790318342301601
1761,64,1400.350894084804,1979.7680087914866,1,0.1681211487216987,0.09201291739700157
1771,0,0.0,0.0,0,0.0,0.0
1788,0,0.0,0.0,0,0.0,0.0
1799,70,64993.431210447015,64993.431210447015,1,0.1665045757559177,0.1665045757559177
1805,0,0.0,0.0,0,0.0,0.0
1842,63,38803.33725960492,25748.761793171736,1,0.11734127696149807,0.0931058654499611
1852,0,0.0,0.0,0,0.0,0.0
1869,67,40291.048404927285,41536.69603067817,1,0.12106528585454121,0.12152091556861959
1884,0,0.0,0.0,0,0.0,0.0
1892,0,0.0,0.0,0,0.0,0.0
1914,66,25973.736665722627,25973.736665722627,1,0.026570920088651497,0.026570920088651497
1929,67,40810.37357582227,18073.730399898326,1,0.11557509586568147,0.014758614539023834
1931,69,23761.60039874383,23761.60039874383,1,0.11471706476447853,0.11471706476447853
1955,60,17243.178110440003,5107.254842652797,1,0.27026732387880287,0.28443428330525145
1967,66,80312.51268865945,80312.51268865945,1,0.2138196682186591,0.2138196682186591
1978,63,28789.127462510623,28789.127462510623,1,0.17593423534701114,0.17593423534701114
2039,65,49550.076732478774,49550.076732478774,1,0.15999636057108496,0.15999636057108496
2048,0,0.0,0.0,0,0.0,0.0
2049,61,33938.20354465007,33938.20354465007,1,0.10173303702186029,0.10173303702186029
2061,67,76648.75968034814,76648.75968034814,1,0.24168329385565268,0.24168329385565268
2086,70,26388.16238853813,26388.16238853813,1,0.010387794616807909,0.010387794616807909
2089,70,8084.389844130169,11278.463814380644,1,0.13387099129998242,0.017388836690967795
2136,67,19518.127864082348,19518.127864082348,1,0.058120493719884835,0.058120493719884835
2137,64,37180.86823155565,37180.86823155565,1,0.06912189533053044,0.06912189533053044
2142,0,0.0,0.0,0,0.0,0.0
2231,70,26698.338635970587,26698.338635970587,1,0.1368261534735954,0.1368261534735954
2306,0,0.0,0.0,0,0.0,0.0
2334,64,22272.246751125913,13318.06676916671,1,0.14296518040616157,0.0976976439417591
2362,62,64558.523275188476,38004.79919809485,1,0.1495954609234746,0.15334025844269067
2365,70,32793.04860161852,32793.04860161852,1,0.028345369373673816,0.028345369373673816
2367,63,11116.375404879947,12503.946858673407,1,0.07566190405342622,0.042694596217421256
2371,70,35528.297778008615,35528.297778008615,1,0.10598214331344069,0.10598214331344069
2392,64,5000.0,5000.0,1,0.0,0.0
2398,60,78938.46544036866,78938.46544036866,1,0.1629727012805674,0.1629727012805674
2436,62,38882.41826545241,38882.41826545241,1,0.06862430564467585,0.06862430564467585
2442,67,31472.810740541252,31472.810740541252,1,0.08322525578798344,0.08322525578798344
2447,70,19884.714701668792,19884.714701668792,1,0.0025989414899529645,0.0025989414899529645
2454,68,72371.88358108352,72371.88358108352,1,0.12109303138055147,0.12109303138055147
2457,0,0.0,0.0,0,0.0,0.0
2465,0,0.0,0.0,0,0.0,0.0
2479,67,19000.0,19000.0,1,0.0,0.0
2487,0,0.0,0.0,0,0.0,0.0
2500,61,29199.011804084766,15000.0,1,0.1301132838209704,0.0
2502,64,1668.1897001553145,2311.4509816947393,1,0.13952847546236735,0.0805345149586875
2528,0,0.0,0.0,0,0.0,0.0
2549,70,30294.129740841337,30294.129740841337,1,0.12699668114832624,0.12699668114832624
2596,0,0.0,0.0,0,0.0,0.0
2598,64,36161.531899951915,36161.531899951915,1,0.10805832164535306,0.10805832164535306
2611,0,0.0,0.0,0,0.0,0.0
2623,69,27057.499235837524,27057.499235837524,2,0.14242825003751058,0.14242825003751058
2636,0,0.0,0.0,0,0.0,0.0
2659,70,50404.85704508241,50404.85704508241,1,0.0959481676909536,0.0959481676909536
2676,67,11386.100748498182,11386.100748498182,1,0.07978308205493485,0.07978308205493485
2685,0,0.0,0.0,0,0.0,0.0
2686,61,47000.39429723847,27226.424475482676,1,0.08526417338917215,0.008086807082403799
2709,0,0.0,0.0,0,0.0,0.0
2726,0,0.0,0.0,0,0.0,0.0
2728,65,23059.094713170874,17946.20798762348,2,0.13299080909853486,0.012923962556743919
2745,62,20759.773449037246,20759.773449037246,1,0.08955088013814208,0.08955088013814208
2758,68,13893.51938847498,13893.51938847498,1,0.011073936414903153,0.011073936414903153
2768,66,28364.79486115171,27117.510220244927,1,0.11633370676064389,0.024846796028201248
2783,0,0.0,0.0,0,0.0,0.0
2804,63,4831.389059160937,4831.389059160937,1,0.010516479994340846,0.010516479994340846
2829,70,0.0,0.0,1,7.073024467558315e-06,7.073024467558315e-06
2866,0,0.0,0.0,0,0.0,0.0
2868,66,49721.638231128236,49721.638231128236,2,0.14042116454480452,0.14042116454480452
2869,70,29546.67404710309,29546.67404710309,1,0.07570796546343352,0.07570796546343352
2870,0,0.0,0.0,0,0.0,0.0
2874,70,36408.47330110573,36408.47330110573,1,0.04839679648972106,0.04839679648972106
2877,69,0.0,0.0,1,7.181683895897104e-06,7.181683895897104e-06
2894,69,14723.624481907573,14723.624481907573,1,0.022841787335364853,0.022841787335364853
2923,0,0.0,0.0,0,0.0,0.0
2958,61,36241.155198565466,10000.0,1,0.16952501636018968,0.0
3014,65,0.0,0.0,1,4.624978945848472e-06,4.624978945848472e-06
3018,0,0.0,0.0,0,0.0,0.0
3050,65,33102.13540419639,33102.13540419639,1,0.11032094405241134,0.11032094405241134
3069,62,15721.839595862648,16228.06984149523,1,0.0430985301490479,0.03245827002150334
3076,67,34222.33529621452,34222.33529621452,1,0.03890652193124916,0.03890652193124916
3098,62,0.0,0.0,1,0.036470346354223276,0.036470346354223276
3103,0,0.0,0.0,0,0.0,0.0
3104,0,0.0,0.0,0,0.0,0.0
3105,60,12538.713045025019,12538.713045025019,1,0.0,0.0
3127,0,0.0,0.0,0,0.0,0.0
3136,60,33738.81335353799,33738.81335353799,1,0.08349362735331937,0.08349362735331937
3140,0,0.0,0.0,0,0.0,0.0
3144,68,39526.88074617657,39526.88074617657,1,0.15640589582105946,0.15640589582105946
3145,61,19062.108928631544,19062.108928631544,1,0.020860436344667055,0.020860436344667055
3153,0,0.0,0.0,0,0.0,0.0
3160,0,0.0,0.0,0,0.0,0.0
3197,66,21448.498562679484,33994.56142740059,1,0.13348936026619632,0.03478465472354937
3198,62,40168.905238876934,29860.753189878338,1,0.11231587688831618,0.11948962860888412
3201,67,48371.99032983548,24076.092248841964,1,0.1373846959066213,0.098281893184512
3202,69,37481.29504762622,37864.884623345046,1,0.05958380701090503,0.05453671799677349
3214,66,13086.432083572792,13086.432083572792,1,0.029636065178207695,0.029636065178207695
3235,60,6000.0,6000.0,1,0.0,0.0
3237,67,40940.033161156636,29377.373615516106,1,0.12192116530374775,0.12489492840292711
3242,69,46110.266525152365,30556.95735751403,1,0.18836051298596548,0.17094359339090798
3254,69,38233.36141040732,38233.36141040732,1,0.0547847061308173,0.0547847061308173
3271,0,0.0,0.0,0,0.0,0.0
3274,61,18892.577856370543,18892.577856370543,1,0.04202535921678836,0.04202535921678836
3319,0,0.0,0.0,0,0.0,0.0
3326,0,0.0,0.0,0,0.0,0.0
3330,70,48220.38395088291,48220.38395088291,1,0.10308282668067688,0.10308282668067688
3338,0,0.0,0.0,0,0.0,0.0
